timestamp,sensor_id,zone,type,value,unit,threshold,status
2026-06-22 06:00:00,GAS-CO-001,Zone A,CO_Gas,88,ppm,150,NORMAL
2026-06-22 07:00:00,GAS-CO-001,Zone A,CO_Gas,102,ppm,150,NORMAL
2026-06-22 08:00:00,GAS-CO-001,Zone A,CO_Gas,118,ppm,150,NORMAL
2026-06-22 09:00:00,GAS-CO-001,Zone A,CO_Gas,138,ppm,150,WARNING
2026-06-22 10:00:00,GAS-CO-001,Zone A,CO_Gas,158,ppm,150,CRITICAL
2026-06-22 11:00:00,GAS-CO-001,Zone A,CO_Gas,172,ppm,150,CRITICAL
2026-06-22 12:00:00,GAS-CO-001,Zone A,CO_Gas,185,ppm,150,CRITICAL
2026-06-22 06:00:00,GAS-H2S-002,Zone A,H2S_Gas,4,ppm,10,NORMAL
2026-06-22 07:00:00,GAS-H2S-002,Zone A,H2S_Gas,5,ppm,10,NORMAL
2026-06-22 08:00:00,GAS-H2S-002,Zone A,H2S_Gas,7,ppm,10,NORMAL
2026-06-22 09:00:00,GAS-H2S-002,Zone A,H2S_Gas,9,ppm,10,WARNING
2026-06-22 10:00:00,GAS-H2S-002,Zone A,H2S_Gas,11,ppm,10,CRITICAL
2026-06-22 11:00:00,GAS-H2S-002,Zone A,H2S_Gas,12,ppm,10,CRITICAL
2026-06-22 12:00:00,GAS-H2S-002,Zone A,H2S_Gas,12,ppm,10,CRITICAL
2026-06-22 06:00:00,TEMP-003,Zone B,Temperature,38,celsius,45,NORMAL
2026-06-22 08:00:00,TEMP-003,Zone B,Temperature,43,celsius,45,NORMAL
2026-06-22 10:00:00,TEMP-003,Zone B,Temperature,49,celsius,45,CRITICAL
2026-06-22 12:00:00,TEMP-003,Zone B,Temperature,52,celsius,45,CRITICAL
2026-06-22 06:00:00,PRESS-004,Zone C,Pressure,1.0,bar,1.2,NORMAL
2026-06-22 08:00:00,PRESS-004,Zone C,Pressure,1.1,bar,1.2,NORMAL
2026-06-22 10:00:00,PRESS-004,Zone C,Pressure,1.3,bar,1.2,WARNING
2026-06-22 12:00:00,PRESS-004,Zone C,Pressure,1.5,bar,1.2,CRITICAL
2026-06-22 06:00:00,PPE-CAM-005,Zone A,PPE_Violations,0,count,0,NORMAL
2026-06-22 08:00:00,PPE-CAM-005,Zone A,PPE_Violations,1,count,0,WARNING
2026-06-22 10:00:00,PPE-CAM-005,Zone A,PPE_Violations,3,count,0,CRITICAL
2026-06-22 12:00:00,PPE-CAM-005,Zone A,PPE_Violations,3,count,0,CRITICAL
